,precision,recall,f1-score,support
spondylosis,0.7302325581395349,0.6460905349794238,0.6855895196506551,243.0
spontaneous abortion,0.7991266375545851,0.756198347107438,0.7770700636942676,242.0
sprain or strain,0.8617886178861789,0.8760330578512396,0.8688524590163934,242.0
stenosis of the tear duct,0.85,0.85,0.85,20.0
stomach cancer,0.7142857142857143,0.8064516129032258,0.7575757575757576,31.0
strep throat,0.9243697478991597,0.9090909090909091,0.9166666666666666,242.0
stress incontinence,0.9795918367346939,0.9411764705882353,0.96,51.0
stricture of the esophagus,0.8823529411764706,0.8823529411764706,0.8823529411764706,17.0
stroke,0.8106060606060606,0.8359375,0.823076923076923,128.0
stye,0.9456521739130435,0.9560439560439561,0.9508196721311475,182.0
subacute thyroiditis,1.0,0.8333333333333334,0.9090909090909091,6.0
subarachnoid hemorrhage,1.0,0.8571428571428571,0.9230769230769231,28.0
subconjunctival hemorrhage,0.975,0.78,0.8666666666666667,50.0
subdural hemorrhage,0.9310344827586207,0.9642857142857143,0.9473684210526315,28.0
substance-related mental disorder,0.6222222222222222,0.6511627906976745,0.6363636363636364,43.0
syphilis,1.0,1.0,1.0,6.0
syringomyelia,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0
systemic lupus erythematosis (sle),0.96875,0.96875,0.96875,32.0
teething syndrome,0.9333333333333333,0.9545454545454546,0.9438202247191011,88.0
temporary or benign blood in urine,0.7066666666666667,0.5921787709497207,0.6443768996960486,179.0
temporomandibular joint disorder,0.9264705882352942,0.9264705882352942,0.9264705882352942,68.0
tendinitis,0.912,0.8382352941176471,0.8735632183908046,136.0
tension headache,0.9814814814814815,0.9464285714285714,0.9636363636363636,56.0
testicular cancer,0.0,0.0,0.0,2.0
testicular disorder,1.0,1.0,1.0,12.0
testicular torsion,0.9444444444444444,0.9444444444444444,0.9444444444444444,18.0
thoracic aortic aneurysm,0.875,0.8235294117647058,0.8484848484848485,34.0
thoracic outlet syndrome,0.9714285714285714,0.9444444444444444,0.9577464788732394,36.0
threatened pregnancy,0.6944444444444444,0.6906077348066298,0.6925207756232687,181.0
thrombocytopenia,1.0,0.96,0.9795918367346939,25.0
thrombophlebitis,0.9886363636363636,0.9666666666666667,0.9775280898876404,90.0
thyroid disease,0.0,0.0,0.0,3.0
thyroid nodule,0.9555555555555556,1.0,0.9772727272727273,43.0
tic (movement) disorder,0.875,0.8235294117647058,0.8484848484848485,17.0
tietze syndrome,0.8857142857142857,0.9253731343283582,0.9051094890510949,67.0
tinnitus of unknown cause,0.7924528301886793,0.75,0.7706422018348624,56.0
tonsillar hypertrophy,0.8648648648648649,0.9411764705882353,0.9014084507042254,68.0
tonsillitis,0.9662921348314607,0.9662921348314607,0.9662921348314607,89.0
tooth abscess,0.7923076923076923,0.7686567164179104,0.7803030303030303,134.0
tooth disorder,0.7591240875912408,0.7761194029850746,0.7675276752767528,134.0
torticollis,0.9464285714285714,0.9464285714285714,0.9464285714285714,56.0
